team1,team2,city,date,toss_winner,first_batting,team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_player6,team2_player7,team2_player8,team2_player9,team2_player10,team2_player11,match_winner
New Zealand,Australia,Christchurch,4 March 1990,1,1,DC Boon,GR Marsh,DM Jones,SR Waugh,AR Border,SP ODonnell,IA Healy,PL Taylor,GD Campbell,CG Rackemann,TM Alderman,MD Crowe,AH Jones,MJ Greatbatch,KR Rutherford,SA Thomson,GR Larsen,IDS Smith,RJ Hadlee,JG Bracewell,MC Snedden,DK Morrison,1
New Zealand,India,Wellington,6 March 1990,1,1,WV Raman,M Prabhakar,SV Manjrekar,DB Vengsarkar,M Azharuddin,SR Tendulkar,N Kapil Dev,KS More,AK Sharma,AS Wassan,ND Hirwani,MD Crowe,JJ Crowe,AH Jones,MJ Greatbatch,KR Rutherford,RJ Hadlee,IDS Smith,SA Thomson,GR Larsen,MC Snedden,DK Morrison,1
West Indies,England,Georgetown,7 March 1990,1,1,GA Gooch,W Larkins,RA Smith,AJ Lamb,AJ Stewart,DJ Capel,RC Russell,PAJ DeFreitas,GC Small,EE Hemmings,ARC Fraser,DL Haynes,CA Best,RB Richardson,CL Hooper,IVA Richards,KLT Arthurton,PJL Dujon,EAE Baptiste,EA Moseley,IR Bishop,CA Walsh,0
Australia,India,Hamilton,8 March 1990,1,1,WV Raman,M Prabhakar,SV Manjrekar,M Azharuddin,VB Chandrasekhar,Gursharan Singh,N Kapil Dev,AK Sharma,KS More,AS Wassan,ND Hirwani,GR Marsh,MA Taylor,SR Waugh,DC Boon,AR Border,SP ODonnell,IA Healy,PL Taylor,MG Hughes,GD Campbell,TM Alderman,0
New Zealand,Australia,Auckland,10 March 1990,1,1,MA Taylor,GR Marsh,DM Jones,DC Boon,SR Waugh,SP ODonnell,IA Healy,PL Taylor,MG Hughes,GD Campbell,CG Rackemann,JG Wright,MD Crowe,AH Jones,MJ Greatbatch,KR Rutherford,RJ Hadlee,IDS Smith,GR Larsen,SA Thomson,MC Snedden,DK Morrison,1
New Zealand,Australia,Auckland,11 March 1990,1,0,JG Wright,AH Jones,MJ Greatbatch,KR Rutherford,JJ Crowe,GR Larsen,RJ Hadlee,IDS Smith,JG Bracewell,MC Snedden,DK Morrison,GR Marsh,DC Boon,DM Jones,AR Border,SR Waugh,SP ODonnell,IA Healy,PL Taylor,GD Campbell,CG Rackemann,TM Alderman,1
West Indies,England,Georgetown,15 March 1990,1,1,GA Gooch,W Larkins,RA Smith,AJ Lamb,AJ Stewart,RJ Bailey,DJ Capel,RC Russell,GC Small,EE Hemmings,ARC Fraser,CG Greenidge,CB Lambert,RB Richardson,CL Hooper,CA Best,KLT Arthurton,PJL Dujon,EAE Baptiste,EA Moseley,IR Bishop,CEL Ambrose,0
West Indies,England,Bridgetown,3 April 1990,1,1,DM Smith,W Larkins,RA Smith,AJ Lamb,N Hussain,DJ Capel,RC Russell,PAJ DeFreitas,CC Lewis,GC Small,EE Hemmings,CG Greenidge,DL Haynes,RB Richardson,CA Best,AL Logie,CL Hooper,PJL Dujon,EA Moseley,MD Marshall,CEL Ambrose,CA Walsh,0
India,Sri Lanka,Sharjah Cricket Association Stadium,25 April 1990,1,0,K Srikkanth,WV Raman,NS Sidhu,M Azharuddin,SR Tendulkar,RJ Shastri,N Kapil Dev,KS More,M Prabhakar,SK Sharma,A Kumble,MAR Samarasekera,HP Tillakaratne,AP Gurusinha,PA de Silva,A Ranatunga,ST Jayasuriya,SHU Karnain,JR Ratnayeke,RJ Ratnayake,EAR de Silva,MAWR Madurasinghe,1
Australia,New Zealand,Sharjah Cricket Association Stadium,26 April 1990,1,0,GR Marsh,MA Taylor,DM Jones,DC Boon,SR Waugh,AR Border,SP ODonnell,IA Healy,PL Taylor,CG Rackemann,TM Alderman,JG Wright,MD Crowe,AH Jones,MJ Greatbatch,KR Rutherford,IDS Smith,JG Bracewell,MW Priest,MC Snedden,JP Millmow,DK Morrison,0
India,Pakistan,Sharjah Cricket Association Stadium,27 April 1990,1,1,Saeed Anwar,Saleem Yousuf,Saleem Malik,Javed Miandad,Imran Khan,Wasim Akram,Ijaz Ahmed,Abdul Qadir,Sajjad Akbar,Waqar Younis,Aaqib Javed,K Srikkanth,M Prabhakar,NS Sidhu,M Azharuddin,N Kapil Dev,SV Manjrekar,SR Tendulkar,RJ Shastri,KS More,SK Sharma,A Kumble,1
Bangladesh,New Zealand,Sharjah Cricket Association Stadium,28 April 1990,1,1,MD Crowe,JG Wright,AH Jones,MJ Greatbatch,KR Rutherford,SA Thomson,IDS Smith,JG Bracewell,MC Snedden,JP Millmow,DK Morrison,Azhar Hossain,Zahid Razzak,Gazi Ashraf,Akram Khan,Minhajul Abedin,Aminul Islam,Enamul Haque,Jahangir Shah,Nasir Ahmed,Golam Faruq,Gholam Nousher,1
Pakistan,Sri Lanka,Sharjah Cricket Association Stadium,29 April 1990,1,0,Saeed Anwar,Saleem Yousuf,Javed Miandad,Saleem Malik,Ijaz Ahmed,Imran Khan,Mansoor Rana,Mushtaq Ahmed,Waqar Younis,Zakir Khan,Aaqib Javed,MAR Samarasekera,HP Tillakaratne,AP Gurusinha,PA de Silva,DSBP Kuruppu,A Ranatunga,RJ Ratnayake,SHU Karnain,JR Ratnayeke,EAR de Silva,MAWR Madurasinghe,0
Australia,Bangladesh,Sharjah Cricket Association Stadium,30 April 1990,1,1,Azhar Hossain,Zahid Razzak,Gazi Ashraf,Akram Khan,Faruk Ahmed,Minhajul Abedin,Aminul Islam,Enamul Haque,Nasir Ahmed,Jahangir Alam Talukdar,Gholam Nousher,SP ODonnell,IA Healy,DM Jones,PL Taylor,MG Hughes,MA Taylor,GR Marsh,DC Boon,AR Border,SR Waugh,GD Campbell,0
New Zealand,Pakistan,Sharjah Cricket Association Stadium,1 May 1990,1,0,MD Crowe,JG Wright,AH Jones,MJ Greatbatch,KR Rutherford,SA Thomson,JG Bracewell,IDS Smith,MC Snedden,DK Morrison,JP Millmow,Saeed Anwar,Saleem Yousuf,Saleem Malik,Imran Khan,Javed Miandad,Ijaz Ahmed,Wasim Akram,Mushtaq Ahmed,Sajjad Akbar,Waqar Younis,Aaqib Javed,1
Australia,Sri Lanka,Sharjah Cricket Association Stadium,2 May 1990,1,0,MA Taylor,GR Marsh,DM Jones,SP ODonnell,DC Boon,AR Border,SR Waugh,IA Healy,PL Taylor,CG Rackemann,TM Alderman,DSBP Kuruppu,MAR Samarasekera,HP Tillakaratne,PA de Silva,A Ranatunga,JR Ratnayeke,RJ Ratnayake,EAR de Silva,CPH Ramanayake,MAWR Madurasinghe,AP Gurusinha,0
Australia,Pakistan,Sharjah Cricket Association Stadium,4 May 1990,1,1,Saeed Anwar,Saleem Yousuf,Javed Miandad,Saleem Malik,Ijaz Ahmed,Imran Khan,Mansoor Rana,Wasim Akram,Mushtaq Ahmed,Waqar Younis,Aaqib Javed,DC Boon,MA Taylor,DM Jones,AR Border,SR Waugh,SP ODonnell,PL Taylor,IA Healy,MG Hughes,CG Rackemann,TM Alderman,1
England,New Zealand,Leeds,23 May 1990,1,0,GA Gooch,DI Gower,RA Smith,AJ Lamb,AJ Stewart,DR Pringle,RC Russell,PAJ DeFreitas,CC Lewis,GC Small,EE Hemmings,JG Wright,AH Jones,MD Crowe,MJ Greatbatch,KR Rutherford,RJ Hadlee,MW Priest,IDS Smith,C Pringle,DK Morrison,JP Millmow,1
England,New Zealand,London,25 May 1990,1,1,JG Wright,AH Jones,MD Crowe,MJ Greatbatch,KR Rutherford,RJ Hadlee,MW Priest,IDS Smith,C Pringle,DK Morrison,JP Millmow,GA Gooch,DI Gower,RA Smith,AJ Lamb,AJ Stewart,RC Russell,CC Lewis,PAJ DeFreitas,GC Small,EE Hemmings,DE Malcolm,0
England,India,Leeds,18 July 1990,1,0,GA Gooch,MA Atherton,DI Gower,AJ Lamb,RA Smith,RC Russell,PAJ DeFreitas,CC Lewis,EE Hemmings,ARC Fraser,DE Malcolm,WV Raman,NS Sidhu,SV Manjrekar,SR Tendulkar,M Azharuddin,RJ Shastri,N Kapil Dev,M Prabhakar,KS More,SK Sharma,A Kumble,1
England,India,Nottingham,20 July 1990,1,0,GA Gooch,MA Atherton,DI Gower,AJ Lamb,RA Smith,RC Russell,PAJ DeFreitas,CC Lewis,GC Small,EE Hemmings,ARC Fraser,RJ Shastri,NS Sidhu,SV Manjrekar,DB Vengsarkar,M Azharuddin,SR Tendulkar,N Kapil Dev,M Prabhakar,KS More,SK Sharma,A Kumble,1
Pakistan,New Zealand,Lahore,2 November 1990,1,0,Saeed Anwar,Shoaib Mohammad,Saleem Malik,Manzoor Elahi,Ijaz Ahmed,Javed Miandad,Saleem Yousuf,Akram Raza,Mushtaq Ahmed,Waqar Younis,Saleem Jaffar,DJ White,MD Crowe,KR Rutherford,MJ Greatbatch,DN Patel,IDS Smith,MW Priest,C Pringle,DK Morrison,W Watson,SJ Roberts,0
Pakistan,New Zealand,Peshawar,4 November 1990,1,1,DJ White,MD Crowe,KR Rutherford,MJ Greatbatch,DN Patel,GE Bradburn,IDS Smith,MW Priest,C Pringle,DK Morrison,W Watson,Rameez Raja,Saeed Anwar,Saleem Malik,Ijaz Ahmed,Javed Miandad,Manzoor Elahi,Saleem Yousuf,Akram Raza,Mushtaq Ahmed,Waqar Younis,Zakir Khan,0
Pakistan,New Zealand,Sialkot,6 November 1990,1,0,Saeed Anwar,Rameez Raja,Saleem Malik,Zahid Fazal,Ijaz Ahmed,Javed Miandad,Manzoor Elahi,Saleem Yousuf,Akram Raza,Waqar Younis,Zakir Khan,DJ White,MD Crowe,KR Rutherford,MJ Greatbatch,DN Patel,IDS Smith,GE Bradburn,MW Priest,C Pringle,DK Morrison,W Watson,0
Pakistan,West Indies,Karachi,9 November 1990,1,0,Saeed Anwar,Rameez Raja,Zahid Fazal,Javed Miandad,Saleem Malik,Imran Khan,Saleem Yousuf,Akram Raza,Mushtaq Ahmed,Waqar Younis,Saleem Jaffar,DL Haynes,CA Best,RB Richardson,AL Logie,BC Lara,CL Hooper,PJL Dujon,MD Marshall,CEL Ambrose,IR Bishop,CA Walsh,0
Pakistan,West Indies,Lahore,11 November 1990,1,1,CG Greenidge,DL Haynes,RB Richardson,CA Best,AL Logie,MD Marshall,CL Hooper,PJL Dujon,EA Moseley,CEL Ambrose,IR Bishop,Saeed Anwar,Rameez Raja,Zahid Fazal,Javed Miandad,Saleem Malik,Imran Khan,Saleem Yousuf,Akram Raza,Mushtaq Ahmed,Waqar Younis,Saleem Jaffar,0
Pakistan,West Indies,Multan,13 November 1990,1,0,Shoaib Mohammad,Saeed Anwar,Zahid Fazal,Saleem Malik,Ijaz Ahmed,Imran Khan,Moin Khan,Akram Raza,Mushtaq Ahmed,Abdul Qadir,Waqar Younis,CG Greenidge,DL Haynes,RB Richardson,CA Best,AL Logie,CL Hooper,RC Haynes,EA Moseley,D Williams,IR Bishop,CA Walsh,0
Australia,New Zealand,Sydney Cricket Ground,29 November 1990,1,0,DC Boon,GR Marsh,DM Jones,AR Border,ME Waugh,SR Waugh,SP ODonnell,PL Taylor,IA Healy,CG Rackemann,BA Reid,JG Wright,AH Jones,MD Crowe,MJ Greatbatch,KR Rutherford,IDS Smith,CZ Harris,RG Petrie,C Pringle,DK Morrison,W Watson,0
England,New Zealand,Adelaide Oval,1 December 1990,1,1,JG Wright,AH Jones,MD Crowe,KR Rutherford,RT Latham,IDS Smith,CZ Harris,RG Petrie,C Pringle,DK Morrison,W Watson,DI Gower,MA Atherton,RA Smith,AJ Lamb,JE Morris,RC Russell,CC Lewis,GC Small,EE Hemmings,ARC Fraser,DE Malcolm,1
India,Sri Lanka,Nagpur,1 December 1990,1,0,NS Sidhu,RJ Shastri,SV Manjrekar,M Azharuddin,SR Tendulkar,N Kapil Dev,V Razdan,M Prabhakar,KS More,Arshad Ayub,A Kumble,RS Mahanama,MAR Samarasekera,AP Gurusinha,PA de Silva,A Ranatunga,HP Tillakaratne,RJ Ratnayake,GF Labrooy,MS Atapattu,MAWR Madurasinghe,KIW Wijegunawardene,0
Australia,New Zealand,Adelaide Oval,2 December 1990,1,1,JG Wright,AH Jones,MD Crowe,KR Rutherford,RT Latham,IDS Smith,CZ Harris,RG Petrie,C Pringle,DK Morrison,W Watson,GR Marsh,DC Boon,DM Jones,AR Border,ME Waugh,SR Waugh,SP ODonnell,PL Taylor,IA Healy,CG Rackemann,TM Alderman,0
India,Sri Lanka,Pune,5 December 1990,1,1,RS Mahanama,D Ranatunga,AP Gurusinha,PA de Silva,A Ranatunga,RJ Ratnayake,MS Atapattu,HP Tillakaratne,GF Labrooy,SD Anurasiri,KIW Wijegunawardene,RJ Shastri,NS Sidhu,SV Manjrekar,M Azharuddin,SR Tendulkar,N Kapil Dev,M Prabhakar,KS More,AS Wassan,Arshad Ayub,A Kumble,0
England,New Zealand,Perth,7 December 1990,1,1,JG Wright,AH Jones,MD Crowe,MJ Greatbatch,KR Rutherford,IDS Smith,CZ Harris,RG Petrie,C Pringle,DK Morrison,W Watson,JE Morris,W Larkins,RA Smith,AJ Lamb,AJ Stewart,RC Russell,CC Lewis,GC Small,MP Bicknell,ARC Fraser,PCR Tufnell,0
India,Sri Lanka,Fatorda,8 December 1990,1,0,RJ Shastri,NS Sidhu,SV Manjrekar,M Azharuddin,SR Tendulkar,N Kapil Dev,M Prabhakar,KS More,Arshad Ayub,A Kumble,AS Wassan,RS Mahanama,D Ranatunga,AP Gurusinha,PA de Silva,A Ranatunga,RS Kaluwitharana,HP Tillakaratne,RJ Ratnayake,CPH Ramanayake,SD Anurasiri,KPJ Warnaweera,1
Australia,England,Perth,9 December 1990,1,1,JE Morris,W Larkins,RA Smith,AJ Lamb,AJ Stewart,CC Lewis,RC Russell,GC Small,MP Bicknell,ARC Fraser,PCR Tufnell,DC Boon,GR Marsh,DM Jones,AR Border,ME Waugh,SR Waugh,GRJ Matthews,SP ODonnell,IA Healy,CG Rackemann,TM Alderman,0
Australia,New Zealand,Melbourne Cricket Ground,11 December 1990,1,0,GR Marsh,DC Boon,DM Jones,SP ODonnell,AR Border,ME Waugh,SR Waugh,GRJ Matthews,IA Healy,MG Hughes,TM Alderman,MD Crowe,JG Wright,MJ Greatbatch,KR Rutherford,RT Latham,GE Bradburn,BA Young,RG Petrie,C Pringle,DK Morrison,W Watson,0
England,New Zealand,Sydney Cricket Ground,13 December 1990,1,0,GA Gooch,W Larkins,RA Smith,AJ Lamb,JE Morris,AJ Stewart,CC Lewis,MP Bicknell,EE Hemmings,ARC Fraser,PCR Tufnell,MD Crowe,JG Wright,GE Bradburn,KR Rutherford,RT Latham,BA Young,CZ Harris,RG Petrie,C Pringle,DK Morrison,W Watson,0
England,New Zealand,Woolloongabba,15 December 1990,1,0,GA Gooch,W Larkins,RA Smith,AJ Lamb,JE Morris,AJ Stewart,CC Lewis,PAJ DeFreitas,ARC Fraser,DE Malcolm,PCR Tufnell,MD Crowe,JG Wright,AH Jones,RT Latham,KR Rutherford,BA Young,CZ Harris,RG Petrie,C Pringle,DK Morrison,W Watson,1
Australia,England,Woolloongabba,16 December 1990,1,0,DC Boon,GR Marsh,DM Jones,SR Waugh,ME Waugh,SP ODonnell,AR Border,GRJ Matthews,IA Healy,CG Rackemann,BA Reid,GA Gooch,W Larkins,AJ Lamb,AJ Stewart,RA Smith,JE Morris,PAJ DeFreitas,MP Bicknell,EE Hemmings,ARC Fraser,PCR Tufnell,0
Australia,New Zealand,Hobart,18 December 1990,1,1,MD Crowe,JG Wright,AH Jones,KR Rutherford,CZ Harris,RT Latham,BA Young,RG Petrie,C Pringle,DK Morrison,W Watson,GR Marsh,DC Boon,SR Waugh,ME Waugh,IA Healy,DM Jones,SP ODonnell,AR Border,GRJ Matthews,TM Alderman,BA Reid,1
Pakistan,Sri Lanka,Sharjah Cricket Association Stadium,20 December 1990,1,0,Saeed Anwar,Zahid Fazal,Javed Miandad,Saleem Malik,Imran Khan,Ijaz Ahmed,Wasim Akram,Saleem Yousuf,Mushtaq Ahmed,Waqar Younis,Aaqib Javed,D Ranatunga,HP Tillakaratne,AP Gurusinha,PA de Silva,A Ranatunga,RS Mahanama,ST Jayasuriya,RJ Ratnayake,GF Labrooy,CPH Ramanayake,KPJ Warnaweera,1
Pakistan,Sri Lanka,Sharjah Cricket Association Stadium,21 December 1990,1,0,Saeed Anwar,Aamer Sohail,Javed Miandad,Saleem Malik,Imran Khan,Ijaz Ahmed,Wasim Akram,Saleem Yousuf,Akram Raza,Mushtaq Ahmed,Waqar Younis,D Ranatunga,CP Senanayake,PA de Silva,A Ranatunga,AP Gurusinha,HP Tillakaratne,ST Jayasuriya,RJ Ratnayake,GF Labrooy,CPH Ramanayake,KPJ Warnaweera,0
India,Bangladesh,Chandigarh,25 December 1990,1,1,Azhar Hossain,Nurul Abedin,Faruk Ahmed,Athar Ali Khan,Minhajul Abedin,Akram Khan,Enamul Haque,Aminul Islam,Gholam Nousher,Nasir Ahmed,Jahangir Alam Talukdar,WV Raman,NS Sidhu,SV Manjrekar,M Azharuddin,SR Tendulkar,N Kapil Dev,M Prabhakar,KS More,SLV Raju,SP Mukherjee,AS Wassan,0
India,Sri Lanka,Cuttack,28 December 1990,1,1,HP Tillakaratne,CP Senanayake,AP Gurusinha,PA de Silva,A Ranatunga,RS Mahanama,ST Jayasuriya,RJ Ratnayake,CPH Ramanayake,SD Anurasiri,KPJ Warnaweera,NS Sidhu,RJ Shastri,SV Manjrekar,M Azharuddin,SR Tendulkar,N Kapil Dev,M Prabhakar,KS More,SLV Raju,AS Wassan,SP Mukherjee,1
Bangladesh,Sri Lanka,Calcutta,31 December 1990,1,1,HP Tillakaratne,CP Senanayake,AP Gurusinha,PA de Silva,A Ranatunga,GF Labrooy,RS Mahanama,ST Jayasuriya,CPH Ramanayake,SD Anurasiri,GP Wickramasinghe,Nurul Abedin,Azhar Hossain,Faruk Ahmed,Athar Ali Khan,Minhajul Abedin,Aminul Islam,Akram Khan,Enamul Haque,Nasir Ahmed,Gholam Nousher,Saiful Islam,1
Bangladesh,Sri Lanka,Calcutta,31 December 1990,1,1,HP Tillakaratne,CP Senanayake,AP Gurusinha,PA de Silva,A Ranatunga,GF Labrooy,RS Mahanama,ST Jayasuriya,CPH Ramanayake,SD Anurasiri,GP Wickramasinghe,Nurul Abedin,Azhar Hossain,Faruk Ahmed,Athar Ali Khan,Minhajul Abedin,Aminul Islam,Akram Khan,Enamul Haque,Nasir Ahmed,Gholam Nousher,Saiful Islam,1
India,Sri Lanka,Cuttack,28 December 1990,1,1,HP Tillakaratne,CP Senanayake,AP Gurusinha,PA de Silva,A Ranatunga,RS Mahanama,ST Jayasuriya,RJ Ratnayake,CPH Ramanayake,SD Anurasiri,KPJ Warnaweera,NS Sidhu,RJ Shastri,SV Manjrekar,M Azharuddin,SR Tendulkar,N Kapil Dev,M Prabhakar,KS More,SLV Raju,AS Wassan,SP Mukherjee,1
India,Bangladesh,Chandigarh,25 December 1990,1,1,Azhar Hossain,Nurul Abedin,Faruk Ahmed,Athar Ali Khan,Minhajul Abedin,Akram Khan,Enamul Haque,Aminul Islam,Gholam Nousher,Nasir Ahmed,Jahangir Alam Talukdar,WV Raman,NS Sidhu,SV Manjrekar,M Azharuddin,SR Tendulkar,N Kapil Dev,M Prabhakar,KS More,SLV Raju,SP Mukherjee,AS Wassan,0
Australia,England,Sydney Cricket Ground,1 January 1991,1,0,GR Marsh,DC Boon,DM Jones,AR Border,ME Waugh,SR Waugh,SP ODonnell,IA Healy,PL Taylor,CG Rackemann,TM Alderman,GA Gooch,W Larkins,MA Atherton,AJ Stewart,RA Smith,JE Morris,PAJ DeFreitas,GC Small,EE Hemmings,ARC Fraser,PCR Tufnell,0
India,Sri Lanka,Calcutta,4 January 1991,1,1,CP Senanayake,HP Tillakaratne,AP Gurusinha,PA de Silva,A Ranatunga,RS Mahanama,ST Jayasuriya,RJ Ratnayake,GF Labrooy,CPH Ramanayake,KPJ Warnaweera,RJ Shastri,NS Sidhu,SV Manjrekar,SR Tendulkar,M Azharuddin,N Kapil Dev,M Prabhakar,KS More,SLV Raju,AS Wassan,SP Mukherjee,0
Australia,England,Melbourne Cricket Ground,10 January 1991,1,0,DC Boon,GR Marsh,DM Jones,AR Border,ME Waugh,SR Waugh,SP ODonnell,IA Healy,PL Taylor,CG Rackemann,TM Alderman,GA Gooch,DI Gower,W Larkins,AJ Stewart,RA Smith,JE Morris,PAJ DeFreitas,GC Small,MP Bicknell,ARC Fraser,PCR Tufnell,0
Australia,New Zealand,Sydney Cricket Ground,13 January 1991,1,1,MD Crowe,RB Reid,JG Wright,AH Jones,KR Rutherford,BA Young,RT Latham,GR Larsen,RG Petrie,C Pringle,DK Morrison,GR Marsh,MA Taylor,DM Jones,DC Boon,ME Waugh,SR Waugh,SP ODonnell,IA Healy,PL Taylor,TM Alderman,BA Reid,0
Australia,New Zealand,Melbourne Cricket Ground,15 January 1991,1,1,MD Crowe,RB Reid,JG Wright,AH Jones,KR Rutherford,RT Latham,BA Young,C Pringle,GR Larsen,RG Petrie,DK Morrison,MA Taylor,GR Marsh,DM Jones,DC Boon,ME Waugh,SR Waugh,SP ODonnell,IA Healy,PL Taylor,TM Alderman,BA Reid,0
